0423	31	6	24	300	9.67742	4.81932	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 15
0424	86	3	6	294	3.4186	1.04561	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 16
0425	12	6	24	168	14	7.81607	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 16
0426	19	6	24	264	13.8947	6.6491	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 17
0427	24	6	48	240	10	9.13664	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 17
0428	13	6	36	150	11.5385	8.98717	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 18
0429	17	6	24	216	12.7059	4.68728	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 18
0430	29	6	12	192	6.62069	1.8596	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 19
0431	18	12	24	240	13.3333	3.88057	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 19
0432	30	6	12	324	10.8	2.44103	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 20
0433	23	6	12	198	8.6087	3.04122	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 20
0434	32	3	3	96	3	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 21
0435	25	6	12	204	8.16	2.93939	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 21
0436	23	6	12	216	9.3913	3.04122	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 22
0437	17	12	48	456	26.8235	13.0969	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 22
0438	25	6	48	192	7.68	8.4	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No. 23
0439	29	3	36	216	7.44828	7.46222	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 23
0440	14	12	24	264	18.8571	6.16263	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Prelude No 24
0441	36	3	18	294	8.16667	4.78987	Bach	Johann Sebastian	Well-tempered Clavichord, Book I, Fugue No. 24
0442	28	3	6	144	5.14286	1.38013	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 1
0443	25	3	24	174	6.96	4.30581	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No 1
0444	24	6	12	192	8	2.88926	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 2
0445	14	6	24	192	13.7143	5.96694	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 2
0446	17	12	12	204	12	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 3 A
0447	18	6	36	216	12	8.23193	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 3 B, Pt. 2
0448	13	6	16	132	10.1538	3.31276	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 3
0449	24	3	48	252	10.5	10.0477	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 4
0450	22	6	16	144	6.54545	2.15423	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 4
0451	24	4	32	312	13	7.02789	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 5
0452	15	12	48	264	17.6	10.0057	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 5
0453	24	6	12	150	6.25	1.22474	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 6
0454	23	4	24	192	8.34783	5.24499	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 6
0455	18	9	36	258	14.3333	6.791	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 7
0456	20	12	96	576	28.8	19.2316	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 7
0457	23	3	12	165	7.17391	2.67399	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 8
0458	16	6	32	216	13.5	6.30344	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 8
0459	21	6	72	252	12	15.1789	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 9
0460	17	12	96	552	32.4706	21.5352	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No 9
0461	19	3	12	114	6	2.44949	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 10
0462	25	3	48	369	14.76	12.755	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 10
0463	20	12	143	563	28.15	34.7082	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 11
0464	23	6	12	162	7.04348	2.32532	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 11
0465	16	6	12	132	8.25	3	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 12
0466	20	6	12	156	7.8	2.82097	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 12
0467	18	2	36	210	11.6667	10.6495	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 13
0468	30	3	36	312	10.4	8.97352	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 13
0469	25	4	24	150	6	4.12311	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 14
0470	32	3	36	264	8.25	7.73346	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 14
0471	24	6	6	144	6	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 15
0472	23	6	6	138	6	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 15
0473	15	3	24	114	7.6	5.57802	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 16
0474	21	6	24	276	13.1429	6.74007	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 16
0475	10	3	18	84	8.4	7.18331	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 17
0476	11	6	6	66	6	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 17, Pt. 2
0477	21	6	24	186	8.85714	4.49762	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 17
0478	17	6	6	102	6	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 18
0479	24	12	12	288	12	0	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No 18
0480	26	12	72	432	16.6154	16.3048	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 19
0481	22	6	18	162	7.36364	3.17048	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 19
0482	23	3	12	189	8.21739	3.52854	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No 20
0483	12	12	24	192	16	5.90839	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Fugue No. 20
0484	15	6	18	138	9.2	4.3948	Bach	Johann Sebastian	Well-tempered Clavichord, Book II, Prelude No. 21
